contrast_family,placement_type,num_occluders,occluder_size,level_1,level_2,estimate_diff,std_error,z_value,p_value,p_value_holm,reject_holm
model_within_placement,random,1,8,resnet50_geirhos_tl,resnet50_tl_20250829,-0.2136547207835339,0.36660087069094266,-0.5827992726281664,0.5600284346835969,0.5600284346835969,False
model_within_placement,random,1,16,resnet50_geirhos_tl,resnet50_tl_20250829,-0.48504323860004717,0.366600870690957,-1.3230826148499157,0.1858079055115467,0.5574237165346401,False
model_within_placement,random,1,32,resnet50_geirhos_tl,resnet50_tl_20250829,-1.1160355776547504,0.36660087069095715,-3.0442796700162864,0.0023323820591611977,0.016326674414128384,True
model_within_placement,random,1,64,resnet50_geirhos_tl,resnet50_tl_20250829,-3.073972876913066,0.3666008706909561,-8.385067037946072,0.0,0.0,True
model_within_placement,random,2,8,resnet50_geirhos_tl,resnet50_tl_20250829,-0.3648763628944969,0.2971826068262334,-1.227785053745911,0.21952766782141175,0.5574237165346401,False
model_within_placement,random,2,16,resnet50_geirhos_tl,resnet50_tl_20250829,-1.0666039417187019,0.2971826068262438,-3.5890523779620858,0.0003318821617339651,0.003318821617339651,True
model_within_placement,random,2,32,resnet50_geirhos_tl,resnet50_tl_20250829,-3.705021457320805,0.29718260682624387,-12.467154443823322,0.0,0.0,True
model_within_placement,random,2,64,resnet50_geirhos_tl,resnet50_tl_20250829,-12.184101188108418,0.2971826068262431,-40.99870217247346,0.0,0.0,True
model_within_placement,random,3,8,resnet50_geirhos_tl,resnet50_tl_20250829,-0.5160980050054598,0.2399966056825696,-2.150438767821885,0.031520524577176356,0.15760262288588178,False
model_within_placement,random,3,16,resnet50_geirhos_tl,resnet50_tl_20250829,-1.6481646448373566,0.23999660568257605,-6.867449813091313,6.5358829459682966e-12,9.803824418952445e-11,True
model_within_placement,random,3,32,resnet50_geirhos_tl,resnet50_tl_20250829,-6.294007336986859,0.23999660568257586,-26.22540147635019,0.0,0.0,True
model_within_placement,random,3,64,resnet50_geirhos_tl,resnet50_tl_20250829,-21.294229499303768,0.23999660568257555,-88.72721111509365,0.0,0.0,True
model_within_placement,random,4,8,resnet50_geirhos_tl,resnet50_tl_20250829,-0.6673196471164228,0.2055208145388558,-3.246968676208021,0.0011664122640842045,0.009331298112673636,True
model_within_placement,random,4,16,resnet50_geirhos_tl,resnet50_tl_20250829,-2.2297253479560113,0.20552081453885848,-10.849146121569259,0.0,0.0,True
model_within_placement,random,4,32,resnet50_geirhos_tl,resnet50_tl_20250829,-8.882993216652915,0.2055208145388583,-43.221866537383676,0.0,0.0,True
model_within_placement,random,4,64,resnet50_geirhos_tl,resnet50_tl_20250829,-30.40435781049912,0.20552081453885795,-147.93809512053363,0.0,0.0,True
model_within_placement,random,5,8,resnet50_geirhos_tl,resnet50_tl_20250829,-0.8185412892273857,0.2055208145388576,-3.9827658870660274,6.811784922322595e-05,0.0008855320399019373,True
model_within_placement,random,5,16,resnet50_geirhos_tl,resnet50_tl_20250829,-2.811286051074666,0.20552081453885837,-13.678838600277775,0.0,0.0,True
model_within_placement,random,5,32,resnet50_geirhos_tl,resnet50_tl_20250829,-11.471979096318968,0.20552081453885784,-55.819062035441476,0.0,0.0,True
model_within_placement,random,5,64,resnet50_geirhos_tl,resnet50_tl_20250829,-39.51448612169447,0.2055208145388578,-192.265129983822,0.0,0.0,True
model_within_placement,random,6,8,resnet50_geirhos_tl,resnet50_tl_20250829,-0.9697629313383487,0.23999660568257433,-4.040736028662764,5.3283707613260844e-05,0.0007459719065856518,True
model_within_placement,random,6,16,resnet50_geirhos_tl,resnet50_tl_20250829,-3.3928467541933207,0.2399966056825757,-14.137061416113392,0.0,0.0,True
