case_id,model_type,placement_type,num_occluders,occluder_size,target_logit_drop,_cell_z
ns_cow_780,resnet50_tl_20250829,random,1,8,-0.2289276123046875,-3.347472284464266
ns_dog_105,resnet50_geirhos_tl,random,5,64,-1.8598904609680176,-3.0956567785503184
ns_dog_105,resnet50_geirhos_tl,targeted,4,8,2.5122992992401123,3.211809356207688
ns_dog_350,resnet50_geirhos_tl,random,8,8,-1.415815353393555,-3.120885027913852
ns_elephant_109,resnet50_tl_20250829,random,2,64,5.841094970703125,-3.061252380796463
ns_elephant_109,resnet50_tl_20250829,random,5,8,-0.0648574829101562,-3.027472982877999
ns_elephant_109,resnet50_tl_20250829,random,5,64,23.280319213867188,-3.208254757752144
ns_elephant_109,resnet50_tl_20250829,random,6,16,0.014129638671875,-3.2818572089706226
ns_elephant_109,resnet50_tl_20250829,random,6,64,17.77179718017578,-4.011536806854263
ns_elephant_109,resnet50_tl_20250829,random,7,8,0.0570831298828125,-3.1881422366553194
ns_elephant_109,resnet50_tl_20250829,random,7,32,4.45672607421875,-3.641519296593823
ns_elephant_109,resnet50_tl_20250829,random,7,64,24.8385009765625,-3.6872149065661715
ns_elephant_109,resnet50_tl_20250829,random,8,8,-0.2078094482421875,-3.218826175738839
ns_elephant_109,resnet50_tl_20250829,random,8,16,0.9599533081054688,-3.8788351899117353
ns_elephant_109,resnet50_tl_20250829,targeted,1,8,1.8663864135742188,3.9386495245140565
ns_elephant_109,resnet50_tl_20250829,targeted,1,32,4.24310302734375,-3.0383304095871884
ns_elephant_109,resnet50_tl_20250829,targeted,2,8,3.1948471069335938,3.5399492461530944
ns_elephant_109,resnet50_tl_20250829,targeted,3,8,4.332427978515625,3.6602618095110877
ns_elephant_109,resnet50_tl_20250829,targeted,4,8,5.408355712890625,3.7176897108708733
ns_elephant_109,resnet50_tl_20250829,targeted,5,8,6.729759216308594,3.96479632917724
ns_elephant_109,resnet50_tl_20250829,targeted,6,8,8.017745971679688,4.133777361740308
ns_elephant_109,resnet50_tl_20250829,targeted,7,8,8.695098876953125,3.9660436281387303
ns_elephant_109,resnet50_tl_20250829,targeted,8,8,9.697853088378906,4.006898462526776
ns_elephant_780,resnet50_tl_20250829,random,1,64,13.667327880859377,3.0817804804458317
ns_lion_350,resnet50_geirhos_tl,targeted,3,16,3.92146597802639,3.2350990688990677
s_bird_111,resnet50_geirhos_tl,random,5,8,1.4033880233764648,3.092055682534769
s_bird_111,resnet50_geirhos_tl,targeted,1,16,2.3809499740600586,3.3559438520030733
s_bird_111,resnet50_geirhos_tl,targeted,2,16,3.820931434631348,4.092317236904376
s_bird_111,resnet50_geirhos_tl,targeted,2,32,5.693314075469971,3.087050774407522
s_bird_111,resnet50_geirhos_tl,targeted,4,16,4.939043521881104,3.39071306922612
s_bird_111,resnet50_geirhos_tl,targeted,5,16,5.314354419708252,3.3292112639406906
s_bird_117,resnet50_geirhos_tl,random,3,16,-1.4342007637023926,-3.3485885682330205
s_butterfly_350,resnet50_geirhos_tl,targeted,5,32,8.663921296596527,3.5099695459912024
s_butterfly_350,resnet50_geirhos_tl,targeted,6,32,8.358115196228027,3.038737170463935
s_fish_350,resnet50_tl_20250829,targeted,7,16,7.1848907470703125,-3.0677087875765148
s_fish_4,resnet50_geirhos_tl,random,1,32,1.5155305862426758,3.265687031668853
s_fish_4,resnet50_geirhos_tl,random,6,16,2.1707606315612797,3.0842836646303913
s_fish_4,resnet50_geirhos_tl,random,7,32,6.040605545043945,3.001658578438589
s_fish_500,resnet50_tl_20250829,random,1,16,-0.2754974365234375,-3.7348013537875713
s_fish_500,resnet50_tl_20250829,targeted,3,32,9.428466796875,-3.5524623495307814
s_fish_500,resnet50_tl_20250829,targeted,4,32,14.47577667236328,-3.1103014383924004
s_fish_800,resnet50_tl_20250829,targeted,2,16,5.7313385009765625,3.0423664837483644
s_oyster_350,resnet50_geirhos_tl,random,1,16,0.72760009765625,3.852992537695185
s_oyster_350,resnet50_geirhos_tl,random,2,8,0.9604611396789552,3.137708994596628
s_oyster_350,resnet50_geirhos_tl,random,2,32,1.572099208831787,3.129057546742228
