case_id,n_cells,is_complete
ns_cow_202,128,True
ns_cow_205,128,True
ns_cow_350,128,True
ns_cow_510,128,True
ns_cow_780,128,True
ns_dog_105,128,True
ns_dog_214,128,True
ns_dog_350,128,True
ns_dog_69,128,True
ns_dog_780,128,True
ns_elephant_100,128,True
ns_elephant_109,128,True
ns_elephant_350,128,True
ns_elephant_47,128,True
ns_elephant_780,128,True
ns_lion_350,128,True
ns_lion_560,128,True
ns_lion_650,128,True
ns_lion_780,128,True
ns_lion_801,128,True
s_bird_111,128,True
s_bird_117,128,True
s_bird_132,128,True
s_bird_136,128,True
s_bird_137,128,True
s_bird_212,128,True
s_bird_350,128,True
s_butterfly_11,128,True
s_butterfly_144,128,True
s_butterfly_350,128,True
s_butterfly_560,128,True
s_fish_350,128,True
s_fish_4,128,True
s_fish_500,128,True
s_fish_600,128,True
s_fish_700,128,True
s_fish_800,128,True
s_fish_900,128,True
s_oyster_350,128,True
s_oyster_4,128,True
