effect,F Value,Num DF,Den DF,Pr > F
model_type,5424.678455355602,1.0,39.0,1.7778835775930845e-43
placement_type,2083.284937504993,1.0,39.0,1.8219707336648977e-35
num_occluders,3631.2554090242934,7.0,273.0,2.6171940749958e-265
occluder_size,4756.6857178218115,3.0,117.0,4.836939931819774e-122
model_type:placement_type,889.7681619331743,1.0,39.0,1.836721621054956e-28
model_type:num_occluders,2834.3022562258197,7.0,273.0,8.445288810165631e-251
placement_type:num_occluders,123.47909617755317,7.0,273.0,8.730121204462376e-81
model_type:occluder_size,3869.4596616580197,3.0,117.0,7.613953350616604e-117
placement_type:occluder_size,331.84080689163056,3.0,117.0,4.9534791674085327e-57
num_occluders:occluder_size,1725.169097327038,21.0,819.0,0.0
model_type:placement_type:num_occluders,105.29748402494839,7.0,273.0,8.558488374612476e-74
model_type:placement_type:occluder_size,328.2494305282188,3.0,117.0,8.748002708845051e-57
model_type:num_occluders:occluder_size,1380.544572870697,21.0,819.0,0.0
placement_type:num_occluders:occluder_size,52.399393846077835,21.0,819.0,1.151816388312193e-135
model_type:placement_type:num_occluders:occluder_size,42.817616875069646,21.0,819.0,2.4117160785292154e-116
