case_id,target_k,global_index,eligible_row,resp,arc_extracted,inside_len
s_fish_900,52,7028,7028,0.9999999999869402,True,35
s_fish_900,52,8673,8673,0.9999999999835438,True,36
s_fish_900,52,8452,8452,0.9999999999812702,True,35
s_fish_900,52,2076,2076,0.9999999999233466,True,38
s_fish_900,52,9397,9397,0.9999999999100027,True,37
s_fish_900,52,613,613,0.9999999998870805,True,37
s_fish_900,52,175,175,0.9999999998535856,True,39
s_fish_900,52,7782,7782,0.9999999997974243,True,39
s_fish_900,52,7746,7746,0.999999999791811,True,37
s_fish_900,52,7294,7294,0.9999999997558292,True,37
s_fish_900,52,984,984,0.9999999997043859,True,39
s_fish_900,52,4976,4976,0.9999999994722941,True,41
s_fish_900,52,4733,4733,0.9999999991984084,True,39
s_fish_900,52,7732,7732,0.9999999991499777,True,37
s_fish_900,52,3371,3371,0.9999999990037196,True,37
s_fish_900,52,282,282,0.9999999989895514,True,43
s_fish_900,52,4575,4575,0.999999998569038,True,38
s_fish_900,52,3601,3601,0.9999999981322248,True,36
s_fish_900,52,9783,9783,0.999999997983096,True,38
s_fish_900,52,7413,7413,0.9999999974810551,True,38
s_fish_900,52,6179,6179,0.9999999970601722,True,38
s_fish_900,52,2400,2400,0.9999999966698995,True,47
s_fish_900,52,7301,7301,0.999999996667512,True,37
s_fish_900,52,4704,4704,0.9999999966550491,True,44
s_fish_900,52,8113,8113,0.999999996387473,True,40
