case_id,source_model,occluder_size,cluster_rank,target_k,n_shapes_listed_in_cluster,n_shapes_averaged,n_shapes_failed,baseGrid_case,jsonl_path,npz_path,plot_path,members_csv_path,status,error
ns_cow_202,resnet50_geirhos_tl,16,1,72.0,25.0,25,0.0,256.0,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_geirhos_tl/size_32/ns_cow_202/ns_cow_202_size32_top1cluster_mean_contour_k72.jsonl,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_geirhos_tl/size_32/ns_cow_202/ns_cow_202_size32_top1cluster_mean_contour_k72.npz,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_geirhos_tl/size_32/ns_cow_202/ns_cow_202_size32_top1cluster_mean_contour_k72.png,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_geirhos_tl/size_32/ns_cow_202/ns_cow_202_size32_top1cluster_mean_contour_k72_members.csv,ok,
ns_cow_205,resnet50_geirhos_tl,16,1,70.0,25.0,25,0.0,256.0,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_geirhos_tl/size_32/ns_cow_205/ns_cow_205_size32_top1cluster_mean_contour_k70.jsonl,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_geirhos_tl/size_32/ns_cow_205/ns_cow_205_size32_top1cluster_mean_contour_k70.npz,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_geirhos_tl/size_32/ns_cow_205/ns_cow_205_size32_top1cluster_mean_contour_k70.png,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_geirhos_tl/size_32/ns_cow_205/ns_cow_205_size32_top1cluster_mean_contour_k70_members.csv,ok,
ns_cow_350,resnet50_geirhos_tl,16,1,56.0,25.0,25,0.0,256.0,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_geirhos_tl/size_32/ns_cow_350/ns_cow_350_size32_top1cluster_mean_contour_k56.jsonl,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_geirhos_tl/size_32/ns_cow_350/ns_cow_350_size32_top1cluster_mean_contour_k56.npz,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_geirhos_tl/size_32/ns_cow_350/ns_cow_350_size32_top1cluster_mean_contour_k56.png,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_geirhos_tl/size_32/ns_cow_350/ns_cow_350_size32_top1cluster_mean_contour_k56_members.csv,ok,
ns_cow_510,resnet50_geirhos_tl,16,1,36.0,25.0,25,0.0,256.0,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_geirhos_tl/size_32/ns_cow_510/ns_cow_510_size32_top1cluster_mean_contour_k36.jsonl,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_geirhos_tl/size_32/ns_cow_510/ns_cow_510_size32_top1cluster_mean_contour_k36.npz,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_geirhos_tl/size_32/ns_cow_510/ns_cow_510_size32_top1cluster_mean_contour_k36.png,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_geirhos_tl/size_32/ns_cow_510/ns_cow_510_size32_top1cluster_mean_contour_k36_members.csv,ok,
ns_cow_780,resnet50_geirhos_tl,16,1,51.0,25.0,25,0.0,256.0,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_geirhos_tl/size_32/ns_cow_780/ns_cow_780_size32_top1cluster_mean_contour_k51.jsonl,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_geirhos_tl/size_32/ns_cow_780/ns_cow_780_size32_top1cluster_mean_contour_k51.npz,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_geirhos_tl/size_32/ns_cow_780/ns_cow_780_size32_top1cluster_mean_contour_k51.png,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_geirhos_tl/size_32/ns_cow_780/ns_cow_780_size32_top1cluster_mean_contour_k51_members.csv,ok,
ns_dog_105,resnet50_geirhos_tl,16,1,76.0,25.0,25,0.0,256.0,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_geirhos_tl/size_32/ns_dog_105/ns_dog_105_size32_top1cluster_mean_contour_k76.jsonl,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_geirhos_tl/size_32/ns_dog_105/ns_dog_105_size32_top1cluster_mean_contour_k76.npz,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_geirhos_tl/size_32/ns_dog_105/ns_dog_105_size32_top1cluster_mean_contour_k76.png,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_geirhos_tl/size_32/ns_dog_105/ns_dog_105_size32_top1cluster_mean_contour_k76_members.csv,ok,
ns_dog_214,resnet50_geirhos_tl,16,1,9.0,25.0,25,0.0,256.0,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_geirhos_tl/size_32/ns_dog_214/ns_dog_214_size32_top1cluster_mean_contour_k9.jsonl,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_geirhos_tl/size_32/ns_dog_214/ns_dog_214_size32_top1cluster_mean_contour_k9.npz,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_geirhos_tl/size_32/ns_dog_214/ns_dog_214_size32_top1cluster_mean_contour_k9.png,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_geirhos_tl/size_32/ns_dog_214/ns_dog_214_size32_top1cluster_mean_contour_k9_members.csv,ok,
ns_dog_350,resnet50_geirhos_tl,16,1,41.0,25.0,25,0.0,256.0,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_geirhos_tl/size_32/ns_dog_350/ns_dog_350_size32_top1cluster_mean_contour_k41.jsonl,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_geirhos_tl/size_32/ns_dog_350/ns_dog_350_size32_top1cluster_mean_contour_k41.npz,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_geirhos_tl/size_32/ns_dog_350/ns_dog_350_size32_top1cluster_mean_contour_k41.png,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_geirhos_tl/size_32/ns_dog_350/ns_dog_350_size32_top1cluster_mean_contour_k41_members.csv,ok,
ns_dog_69,resnet50_geirhos_tl,16,1,4.0,25.0,25,0.0,256.0,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_geirhos_tl/size_32/ns_dog_69/ns_dog_69_size32_top1cluster_mean_contour_k4.jsonl,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_geirhos_tl/size_32/ns_dog_69/ns_dog_69_size32_top1cluster_mean_contour_k4.npz,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_geirhos_tl/size_32/ns_dog_69/ns_dog_69_size32_top1cluster_mean_contour_k4.png,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_geirhos_tl/size_32/ns_dog_69/ns_dog_69_size32_top1cluster_mean_contour_k4_members.csv,ok,
ns_dog_780,resnet50_geirhos_tl,16,1,,,0,,,,,,,failed,Missing shapes_xy.npz: /home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/data/cases/generated_from_best_occluders/ns_dog_780/resnet50_geirhos_tl/size_32/generated/shapes_xy.npz
ns_elephant_100,resnet50_geirhos_tl,16,1,,,0,,,,,,,failed,No hidden arcs extracted for case ns_elephant_100
