case_id,source_model,occluder_size,cluster_rank,target_k,n_shapes_listed_in_cluster,n_shapes_averaged,n_shapes_failed,baseGrid_case,jsonl_path,npz_path,plot_path,members_csv_path,status,error
ns_cow_202,resnet50_geirhos_tl,16,1,0.0,25.0,25,0.0,256.0,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_tl_20250829/size_16/ns_cow_202/ns_cow_202_size16_top1cluster_mean_contour_k0.jsonl,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_tl_20250829/size_16/ns_cow_202/ns_cow_202_size16_top1cluster_mean_contour_k0.npz,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_tl_20250829/size_16/ns_cow_202/ns_cow_202_size16_top1cluster_mean_contour_k0.png,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_tl_20250829/size_16/ns_cow_202/ns_cow_202_size16_top1cluster_mean_contour_k0_members.csv,ok,
ns_cow_205,resnet50_geirhos_tl,16,1,26.0,25.0,25,0.0,256.0,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_tl_20250829/size_16/ns_cow_205/ns_cow_205_size16_top1cluster_mean_contour_k26.jsonl,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_tl_20250829/size_16/ns_cow_205/ns_cow_205_size16_top1cluster_mean_contour_k26.npz,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_tl_20250829/size_16/ns_cow_205/ns_cow_205_size16_top1cluster_mean_contour_k26.png,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_tl_20250829/size_16/ns_cow_205/ns_cow_205_size16_top1cluster_mean_contour_k26_members.csv,ok,
ns_cow_350,resnet50_geirhos_tl,16,1,15.0,25.0,25,0.0,256.0,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_tl_20250829/size_16/ns_cow_350/ns_cow_350_size16_top1cluster_mean_contour_k15.jsonl,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_tl_20250829/size_16/ns_cow_350/ns_cow_350_size16_top1cluster_mean_contour_k15.npz,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_tl_20250829/size_16/ns_cow_350/ns_cow_350_size16_top1cluster_mean_contour_k15.png,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_tl_20250829/size_16/ns_cow_350/ns_cow_350_size16_top1cluster_mean_contour_k15_members.csv,ok,
ns_cow_510,resnet50_geirhos_tl,16,1,7.0,25.0,23,2.0,256.0,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_tl_20250829/size_16/ns_cow_510/ns_cow_510_size16_top1cluster_mean_contour_k7.jsonl,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_tl_20250829/size_16/ns_cow_510/ns_cow_510_size16_top1cluster_mean_contour_k7.npz,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_tl_20250829/size_16/ns_cow_510/ns_cow_510_size16_top1cluster_mean_contour_k7.png,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_tl_20250829/size_16/ns_cow_510/ns_cow_510_size16_top1cluster_mean_contour_k7_members.csv,ok,
ns_cow_780,resnet50_geirhos_tl,16,1,0.0,25.0,25,0.0,256.0,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_tl_20250829/size_16/ns_cow_780/ns_cow_780_size16_top1cluster_mean_contour_k0.jsonl,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_tl_20250829/size_16/ns_cow_780/ns_cow_780_size16_top1cluster_mean_contour_k0.npz,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_tl_20250829/size_16/ns_cow_780/ns_cow_780_size16_top1cluster_mean_contour_k0.png,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_tl_20250829/size_16/ns_cow_780/ns_cow_780_size16_top1cluster_mean_contour_k0_members.csv,ok,
ns_dog_105,resnet50_geirhos_tl,16,1,2.0,25.0,25,0.0,256.0,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_tl_20250829/size_16/ns_dog_105/ns_dog_105_size16_top1cluster_mean_contour_k2.jsonl,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_tl_20250829/size_16/ns_dog_105/ns_dog_105_size16_top1cluster_mean_contour_k2.npz,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_tl_20250829/size_16/ns_dog_105/ns_dog_105_size16_top1cluster_mean_contour_k2.png,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_tl_20250829/size_16/ns_dog_105/ns_dog_105_size16_top1cluster_mean_contour_k2_members.csv,ok,
ns_dog_214,resnet50_geirhos_tl,16,1,3.0,25.0,24,1.0,256.0,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_tl_20250829/size_16/ns_dog_214/ns_dog_214_size16_top1cluster_mean_contour_k3.jsonl,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_tl_20250829/size_16/ns_dog_214/ns_dog_214_size16_top1cluster_mean_contour_k3.npz,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_tl_20250829/size_16/ns_dog_214/ns_dog_214_size16_top1cluster_mean_contour_k3.png,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_tl_20250829/size_16/ns_dog_214/ns_dog_214_size16_top1cluster_mean_contour_k3_members.csv,ok,
ns_dog_350,resnet50_geirhos_tl,16,1,9.0,25.0,23,2.0,256.0,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_tl_20250829/size_16/ns_dog_350/ns_dog_350_size16_top1cluster_mean_contour_k9.jsonl,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_tl_20250829/size_16/ns_dog_350/ns_dog_350_size16_top1cluster_mean_contour_k9.npz,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_tl_20250829/size_16/ns_dog_350/ns_dog_350_size16_top1cluster_mean_contour_k9.png,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_tl_20250829/size_16/ns_dog_350/ns_dog_350_size16_top1cluster_mean_contour_k9_members.csv,ok,
ns_dog_69,resnet50_geirhos_tl,16,1,3.0,25.0,25,0.0,256.0,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_tl_20250829/size_16/ns_dog_69/ns_dog_69_size16_top1cluster_mean_contour_k3.jsonl,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_tl_20250829/size_16/ns_dog_69/ns_dog_69_size16_top1cluster_mean_contour_k3.npz,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_tl_20250829/size_16/ns_dog_69/ns_dog_69_size16_top1cluster_mean_contour_k3.png,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_tl_20250829/size_16/ns_dog_69/ns_dog_69_size16_top1cluster_mean_contour_k3_members.csv,ok,
ns_dog_780,resnet50_geirhos_tl,16,1,,,0,,,,,,,failed,Missing shapes_xy.npz: /home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/data/cases/generated_from_best_occluders/ns_dog_780/resnet50_geirhos_tl/size_16/generated/shapes_xy.npz
