case_id,prefix,model_type,cluster_rank,target_k,selected_member_position,global_index,eligible_row,resp,n_shapes_in_cluster,base_grid,source_top10_jsonl,source_shapes_npz,source_occluder_config,output_png,status,error
ns_cow_202,shape,resnet50_geirhos_tl,1.0,72.0,0,6769.0,6769.0,0.9999999999997585,25.0,256.0,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_geirhos_tl/size_32/ns_cow_202/top10_clusters.jsonl,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/data/cases/generated_from_best_occluders/ns_cow_202/resnet50_geirhos_tl/size_32/generated/shapes_xy.npz,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/data/cases/generated_from_best_occluders/ns_cow_202/resnet50_geirhos_tl/size_32/generated/source_occluder_config.json,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/representative_shape_plots_size32/shape_ns_cow_202_representative.png,ok,
ns_cow_205,shape,resnet50_geirhos_tl,1.0,70.0,0,6695.0,6695.0,0.999998876572255,25.0,256.0,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_geirhos_tl/size_32/ns_cow_205/top10_clusters.jsonl,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/data/cases/generated_from_best_occluders/ns_cow_205/resnet50_geirhos_tl/size_32/generated/shapes_xy.npz,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/data/cases/generated_from_best_occluders/ns_cow_205/resnet50_geirhos_tl/size_32/generated/source_occluder_config.json,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/representative_shape_plots_size32/shape_ns_cow_205_representative.png,ok,
ns_cow_350,shape,resnet50_geirhos_tl,1.0,56.0,0,9106.0,9106.0,1.0,25.0,256.0,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_geirhos_tl/size_32/ns_cow_350/top10_clusters.jsonl,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/data/cases/generated_from_best_occluders/ns_cow_350/resnet50_geirhos_tl/size_32/generated/shapes_xy.npz,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/data/cases/generated_from_best_occluders/ns_cow_350/resnet50_geirhos_tl/size_32/generated/source_occluder_config.json,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/representative_shape_plots_size32/shape_ns_cow_350_representative.png,ok,
ns_cow_510,shape,resnet50_geirhos_tl,1.0,36.0,0,4244.0,4244.0,0.9999999995813198,25.0,256.0,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_geirhos_tl/size_32/ns_cow_510/top10_clusters.jsonl,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/data/cases/generated_from_best_occluders/ns_cow_510/resnet50_geirhos_tl/size_32/generated/shapes_xy.npz,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/data/cases/generated_from_best_occluders/ns_cow_510/resnet50_geirhos_tl/size_32/generated/source_occluder_config.json,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/representative_shape_plots_size32/shape_ns_cow_510_representative.png,ok,
ns_cow_780,shape,resnet50_geirhos_tl,1.0,51.0,0,6178.0,6178.0,0.9999999997411068,25.0,256.0,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_geirhos_tl/size_32/ns_cow_780/top10_clusters.jsonl,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/data/cases/generated_from_best_occluders/ns_cow_780/resnet50_geirhos_tl/size_32/generated/shapes_xy.npz,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/data/cases/generated_from_best_occluders/ns_cow_780/resnet50_geirhos_tl/size_32/generated/source_occluder_config.json,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/representative_shape_plots_size32/shape_ns_cow_780_representative.png,ok,
ns_dog_105,shape,resnet50_geirhos_tl,1.0,76.0,0,5285.0,5285.0,0.999997774553041,25.0,256.0,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_geirhos_tl/size_32/ns_dog_105/top10_clusters.jsonl,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/data/cases/generated_from_best_occluders/ns_dog_105/resnet50_geirhos_tl/size_32/generated/shapes_xy.npz,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/data/cases/generated_from_best_occluders/ns_dog_105/resnet50_geirhos_tl/size_32/generated/source_occluder_config.json,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/representative_shape_plots_size32/shape_ns_dog_105_representative.png,ok,
ns_dog_214,shape,resnet50_geirhos_tl,1.0,9.0,0,5015.0,5015.0,0.9996835501662533,25.0,256.0,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_geirhos_tl/size_32/ns_dog_214/top10_clusters.jsonl,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/data/cases/generated_from_best_occluders/ns_dog_214/resnet50_geirhos_tl/size_32/generated/shapes_xy.npz,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/data/cases/generated_from_best_occluders/ns_dog_214/resnet50_geirhos_tl/size_32/generated/source_occluder_config.json,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/representative_shape_plots_size32/shape_ns_dog_214_representative.png,ok,
ns_dog_350,shape,resnet50_geirhos_tl,1.0,41.0,0,4004.0,4004.0,0.999999785760929,25.0,256.0,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_geirhos_tl/size_32/ns_dog_350/top10_clusters.jsonl,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/data/cases/generated_from_best_occluders/ns_dog_350/resnet50_geirhos_tl/size_32/generated/shapes_xy.npz,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/data/cases/generated_from_best_occluders/ns_dog_350/resnet50_geirhos_tl/size_32/generated/source_occluder_config.json,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/representative_shape_plots_size32/shape_ns_dog_350_representative.png,ok,
ns_dog_69,shape,resnet50_geirhos_tl,1.0,4.0,0,4870.0,4870.0,0.9999999999801616,25.0,256.0,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_geirhos_tl/size_32/ns_dog_69/top10_clusters.jsonl,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/data/cases/generated_from_best_occluders/ns_dog_69/resnet50_geirhos_tl/size_32/generated/shapes_xy.npz,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/data/cases/generated_from_best_occluders/ns_dog_69/resnet50_geirhos_tl/size_32/generated/source_occluder_config.json,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/representative_shape_plots_size32/shape_ns_dog_69_representative.png,ok,
ns_dog_780,shape,resnet50_geirhos_tl,,,0,,,,,,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_geirhos_tl/size_32/ns_dog_780/top10_clusters.jsonl,,,,failed,Missing shapes_xy.npz: /home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/data/cases/generated_from_best_occluders/ns_dog_780/resnet50_geirhos_tl/size_32/generated/shapes_xy.npz
