case_id,model_type,occluder_size,stride,y0,x0,y_center,x_center,baseline_target_logit,post_occlusion_target_logit,target_logit_drop
ns_dog_780,resnet50_geirhos_tl,16,8,0,0,8.0,8.0,6.852804660797119,6.860984802246094,-0.00818014144897461
ns_dog_780,resnet50_geirhos_tl,16,8,0,8,8.0,16.0,6.852804660797119,6.919562339782715,-0.0667576789855957
ns_dog_780,resnet50_geirhos_tl,16,8,0,16,8.0,24.0,6.852804660797119,7.002697944641113,-0.14989328384399414
ns_dog_780,resnet50_geirhos_tl,16,8,0,24,8.0,32.0,6.852804660797119,6.994863510131836,-0.1420588493347168
ns_dog_780,resnet50_geirhos_tl,16,8,0,32,8.0,40.0,6.852804660797119,6.894102096557617,-0.04129743576049805
ns_dog_780,resnet50_geirhos_tl,16,8,0,40,8.0,48.0,6.852804660797119,6.345392227172852,0.5074124336242676
ns_dog_780,resnet50_geirhos_tl,16,8,0,48,8.0,56.0,6.852804660797119,5.478704929351807,1.3740997314453125
ns_dog_780,resnet50_geirhos_tl,16,8,0,56,8.0,64.0,6.852804660797119,6.041780948638916,0.8110237121582031
ns_dog_780,resnet50_geirhos_tl,16,8,0,64,8.0,72.0,6.852804660797119,6.745297431945801,0.10750722885131836
ns_dog_780,resnet50_geirhos_tl,16,8,0,72,8.0,80.0,6.852804660797119,6.996690273284912,-0.14388561248779297
ns_dog_780,resnet50_geirhos_tl,16,8,0,80,8.0,88.0,6.852804660797119,6.9091105461120605,-0.056305885314941406
ns_dog_780,resnet50_geirhos_tl,16,8,0,88,8.0,96.0,6.852804660797119,6.874259948730469,-0.02145528793334961
ns_dog_780,resnet50_geirhos_tl,16,8,0,96,8.0,104.0,6.852804660797119,6.8539862632751465,-0.0011816024780273438
ns_dog_780,resnet50_geirhos_tl,16,8,0,104,8.0,112.0,6.852804660797119,6.8307719230651855,0.022032737731933594
ns_dog_780,resnet50_geirhos_tl,16,8,0,112,8.0,120.0,6.852804660797119,6.809482574462891,0.043322086334228516
ns_dog_780,resnet50_geirhos_tl,16,8,0,120,8.0,128.0,6.852804660797119,6.823417663574219,0.02938699722290039
ns_dog_780,resnet50_geirhos_tl,16,8,0,128,8.0,136.0,6.852804660797119,6.831725120544434,0.021079540252685547
ns_dog_780,resnet50_geirhos_tl,16,8,0,136,8.0,144.0,6.852804660797119,6.890568733215332,-0.03776407241821289
ns_dog_780,resnet50_geirhos_tl,16,8,0,144,8.0,152.0,6.852804660797119,6.901514530181885,-0.048709869384765625
ns_dog_780,resnet50_geirhos_tl,16,8,0,152,8.0,160.0,6.852804660797119,6.8907012939453125,-0.03789663314819336
ns_dog_780,resnet50_geirhos_tl,16,8,0,160,8.0,168.0,6.852804660797119,6.839493751525879,0.013310909271240234
ns_dog_780,resnet50_geirhos_tl,16,8,0,168,8.0,176.0,6.852804660797119,6.863899230957031,-0.01109457015991211
