case_id,model_type,occluder_size,stride,y0,x0,y_center,x_center,baseline_target_logit,post_occlusion_target_logit,target_logit_drop
ns_lion_560,resnet50_tl_20250829,16,8,0,0,8.0,8.0,138.02552795410156,138.16807556152344,-0.142547607421875
ns_lion_560,resnet50_tl_20250829,16,8,0,8,8.0,16.0,138.02552795410156,138.40528869628906,-0.3797607421875
ns_lion_560,resnet50_tl_20250829,16,8,0,16,8.0,24.0,138.02552795410156,138.01980590820312,0.0057220458984375
ns_lion_560,resnet50_tl_20250829,16,8,0,24,8.0,32.0,138.02552795410156,137.968505859375,0.0570220947265625
ns_lion_560,resnet50_tl_20250829,16,8,0,32,8.0,40.0,138.02552795410156,137.4005889892578,0.62493896484375
ns_lion_560,resnet50_tl_20250829,16,8,0,40,8.0,48.0,138.02552795410156,137.70777893066406,0.3177490234375
ns_lion_560,resnet50_tl_20250829,16,8,0,48,8.0,56.0,138.02552795410156,137.29092407226562,0.7346038818359375
ns_lion_560,resnet50_tl_20250829,16,8,0,56,8.0,64.0,138.02552795410156,137.5582275390625,0.4673004150390625
ns_lion_560,resnet50_tl_20250829,16,8,0,64,8.0,72.0,138.02552795410156,137.20907592773438,0.8164520263671875
ns_lion_560,resnet50_tl_20250829,16,8,0,72,8.0,80.0,138.02552795410156,137.76182556152344,0.263702392578125
ns_lion_560,resnet50_tl_20250829,16,8,0,80,8.0,88.0,138.02552795410156,137.27975463867188,0.7457733154296875
ns_lion_560,resnet50_tl_20250829,16,8,0,88,8.0,96.0,138.02552795410156,137.59042358398438,0.4351043701171875
ns_lion_560,resnet50_tl_20250829,16,8,0,96,8.0,104.0,138.02552795410156,137.2129669189453,0.81256103515625
ns_lion_560,resnet50_tl_20250829,16,8,0,104,8.0,112.0,138.02552795410156,137.597412109375,0.4281158447265625
ns_lion_560,resnet50_tl_20250829,16,8,0,112,8.0,120.0,138.02552795410156,137.09193420410156,0.93359375
ns_lion_560,resnet50_tl_20250829,16,8,0,120,8.0,128.0,138.02552795410156,137.47299194335938,0.5525360107421875
ns_lion_560,resnet50_tl_20250829,16,8,0,128,8.0,136.0,138.02552795410156,137.1536865234375,0.8718414306640625
ns_lion_560,resnet50_tl_20250829,16,8,0,136,8.0,144.0,138.02552795410156,137.2686309814453,0.75689697265625
ns_lion_560,resnet50_tl_20250829,16,8,0,144,8.0,152.0,138.02552795410156,136.93695068359375,1.0885772705078125
ns_lion_560,resnet50_tl_20250829,16,8,0,152,8.0,160.0,138.02552795410156,137.26821899414062,0.7573089599609375
ns_lion_560,resnet50_tl_20250829,16,8,0,160,8.0,168.0,138.02552795410156,136.93600463867188,1.0895233154296875
ns_lion_560,resnet50_tl_20250829,16,8,0,168,8.0,176.0,138.02552795410156,136.9953155517578,1.03021240234375
ns_lion_560,resnet50_tl_20250829,16,8,0,176,8.0,184.0,138.02552795410156,137.05923461914062,0.9662933349609375
ns_lion_560,resnet50_tl_20250829,16,8,0,184,8.0,192.0,138.02552795410156,137.536865234375,0.4886627197265625
ns_lion_560,resnet50_tl_20250829,16,8,0,192,8.0,200.0,138.02552795410156,137.48831176757812,0.5372161865234375
ns_lion_560,resnet50_tl_20250829,16,8,0,200,8.0,208.0,138.02552795410156,137.82350158691406,0.2020263671875
ns_lion_560,resnet50_tl_20250829,16,8,0,208,8.0,216.0,138.02552795410156,137.4679718017578,0.55755615234375
ns_lion_560,resnet50_tl_20250829,16,8,8,0,16.0,8.0,138.02552795410156,137.41094970703125,0.6145782470703125
ns_lion_560,resnet50_tl_20250829,16,8,8,8,16.0,16.0,138.02552795410156,137.35308837890625,0.6724395751953125
ns_lion_560,resnet50_tl_20250829,16,8,8,16,16.0,24.0,138.02552795410156,137.2106170654297,0.814910888671875
ns_lion_560,resnet50_tl_20250829,16,8,8,24,16.0,32.0,138.02552795410156,137.2502899169922,0.775238037109375
ns_lion_560,resnet50_tl_20250829,16,8,8,32,16.0,40.0,138.02552795410156,136.9850616455078,1.04046630859375
ns_lion_560,resnet50_tl_20250829,16,8,8,40,16.0,48.0,138.02552795410156,136.89837646484375,1.1271514892578125
ns_lion_560,resnet50_tl_20250829,16,8,8,48,16.0,56.0,138.02552795410156,136.705322265625,1.3202056884765625
ns_lion_560,resnet50_tl_20250829,16,8,8,56,16.0,64.0,138.02552795410156,136.7933349609375,1.2321929931640625
ns_lion_560,resnet50_tl_20250829,16,8,8,64,16.0,72.0,138.02552795410156,136.74505615234375,1.2804718017578125
ns_lion_560,resnet50_tl_20250829,16,8,8,72,16.0,80.0,138.02552795410156,136.85398864746094,1.171539306640625
ns_lion_560,resnet50_tl_20250829,16,8,8,80,16.0,88.0,138.02552795410156,136.74642944335938,1.2790985107421875
ns_lion_560,resnet50_tl_20250829,16,8,8,88,16.0,96.0,138.02552795410156,136.75076293945312,1.2747650146484375
ns_lion_560,resnet50_tl_20250829,16,8,8,96,16.0,104.0,138.02552795410156,136.72381591796875,1.3017120361328125
ns_lion_560,resnet50_tl_20250829,16,8,8,104,16.0,112.0,138.02552795410156,136.71136474609375,1.3141632080078125
ns_lion_560,resnet50_tl_20250829,16,8,8,112,16.0,120.0,138.02552795410156,136.66806030273438,1.3574676513671875
ns_lion_560,resnet50_tl_20250829,16,8,8,120,16.0,128.0,138.02552795410156,136.4327850341797,1.592742919921875
ns_lion_560,resnet50_tl_20250829,16,8,8,128,16.0,136.0,138.02552795410156,136.36862182617188,1.6569061279296875
