case_id,model_type,occluder_size,stride,y0,x0,y_center,x_center,baseline_target_logit,post_occlusion_target_logit,target_logit_drop
s_butterfly_11,resnet50_tl_20250829,16,8,0,0,8.0,8.0,138.3145294189453,138.36050415039062,-0.0459747314453125
s_butterfly_11,resnet50_tl_20250829,16,8,0,8,8.0,16.0,138.3145294189453,138.72195434570312,-0.4074249267578125
s_butterfly_11,resnet50_tl_20250829,16,8,0,16,8.0,24.0,138.3145294189453,138.41481018066406,-0.10028076171875
s_butterfly_11,resnet50_tl_20250829,16,8,0,24,8.0,32.0,138.3145294189453,138.3682098388672,-0.053680419921875
s_butterfly_11,resnet50_tl_20250829,16,8,0,32,8.0,40.0,138.3145294189453,137.9985809326172,0.315948486328125
s_butterfly_11,resnet50_tl_20250829,16,8,0,40,8.0,48.0,138.3145294189453,138.19723510742188,0.1172943115234375
s_butterfly_11,resnet50_tl_20250829,16,8,0,48,8.0,56.0,138.3145294189453,137.79530334472656,0.51922607421875
s_butterfly_11,resnet50_tl_20250829,16,8,0,56,8.0,64.0,138.3145294189453,138.0144500732422,0.300079345703125
s_butterfly_11,resnet50_tl_20250829,16,8,0,64,8.0,72.0,138.3145294189453,137.75213623046875,0.5623931884765625
s_butterfly_11,resnet50_tl_20250829,16,8,0,72,8.0,80.0,138.3145294189453,138.23289489746094,0.081634521484375
s_butterfly_11,resnet50_tl_20250829,16,8,0,80,8.0,88.0,138.3145294189453,137.90350341796875,0.4110260009765625
s_butterfly_11,resnet50_tl_20250829,16,8,0,88,8.0,96.0,138.3145294189453,138.229736328125,0.0847930908203125
s_butterfly_11,resnet50_tl_20250829,16,8,0,96,8.0,104.0,138.3145294189453,138.00601196289062,0.3085174560546875
s_butterfly_11,resnet50_tl_20250829,16,8,0,104,8.0,112.0,138.3145294189453,138.44189453125,-0.1273651123046875
s_butterfly_11,resnet50_tl_20250829,16,8,0,112,8.0,120.0,138.3145294189453,138.03590393066406,0.27862548828125
s_butterfly_11,resnet50_tl_20250829,16,8,0,120,8.0,128.0,138.3145294189453,138.30706787109375,0.0074615478515625
s_butterfly_11,resnet50_tl_20250829,16,8,0,128,8.0,136.0,138.3145294189453,137.91928100585938,0.3952484130859375
s_butterfly_11,resnet50_tl_20250829,16,8,0,136,8.0,144.0,138.3145294189453,138.32928466796875,-0.0147552490234375
s_butterfly_11,resnet50_tl_20250829,16,8,0,144,8.0,152.0,138.3145294189453,137.8566436767578,0.4578857421875
s_butterfly_11,resnet50_tl_20250829,16,8,0,152,8.0,160.0,138.3145294189453,138.25967407226562,0.0548553466796875
s_butterfly_11,resnet50_tl_20250829,16,8,0,160,8.0,168.0,138.3145294189453,137.82769775390625,0.4868316650390625
s_butterfly_11,resnet50_tl_20250829,16,8,0,168,8.0,176.0,138.3145294189453,138.2594757080078,0.0550537109375
s_butterfly_11,resnet50_tl_20250829,16,8,0,176,8.0,184.0,138.3145294189453,137.76812744140625,0.5464019775390625
s_butterfly_11,resnet50_tl_20250829,16,8,0,184,8.0,192.0,138.3145294189453,138.01522827148438,0.2993011474609375
s_butterfly_11,resnet50_tl_20250829,16,8,0,192,8.0,200.0,138.3145294189453,137.82186889648438,0.4926605224609375
s_butterfly_11,resnet50_tl_20250829,16,8,0,200,8.0,208.0,138.3145294189453,138.19337463378906,0.12115478515625
s_butterfly_11,resnet50_tl_20250829,16,8,0,208,8.0,216.0,138.3145294189453,137.98672485351562,0.3278045654296875
s_butterfly_11,resnet50_tl_20250829,16,8,8,0,16.0,8.0,138.3145294189453,137.59869384765625,0.7158355712890625
s_butterfly_11,resnet50_tl_20250829,16,8,8,8,16.0,16.0,138.3145294189453,137.6682586669922,0.646270751953125
