case_id,model_type,occluder_size,stride,y0,x0,y_center,x_center,baseline_target_logit,post_occlusion_target_logit,target_logit_drop
s_fish_700,resnet50_tl_20250829,32,16,0,0,16.0,16.0,150.28395080566406,147.8024444580078,2.48150634765625
s_fish_700,resnet50_tl_20250829,32,16,0,16,16.0,32.0,150.28395080566406,146.48329162597656,3.8006591796875
s_fish_700,resnet50_tl_20250829,32,16,0,32,16.0,48.0,150.28395080566406,145.80345153808594,4.480499267578125
s_fish_700,resnet50_tl_20250829,32,16,0,48,16.0,64.0,150.28395080566406,145.69869995117188,4.5852508544921875
s_fish_700,resnet50_tl_20250829,32,16,0,64,16.0,80.0,150.28395080566406,147.31675720214844,2.967193603515625
s_fish_700,resnet50_tl_20250829,32,16,0,80,16.0,96.0,150.28395080566406,147.55979919433594,2.724151611328125
s_fish_700,resnet50_tl_20250829,32,16,0,96,16.0,112.0,150.28395080566406,147.23098754882812,3.0529632568359375
s_fish_700,resnet50_tl_20250829,32,16,0,112,16.0,128.0,150.28395080566406,146.86325073242188,3.4207000732421875
s_fish_700,resnet50_tl_20250829,32,16,0,128,16.0,144.0,150.28395080566406,147.3826446533203,2.90130615234375
s_fish_700,resnet50_tl_20250829,32,16,0,144,16.0,160.0,150.28395080566406,147.74835205078125,2.5355987548828125
s_fish_700,resnet50_tl_20250829,32,16,0,160,16.0,176.0,150.28395080566406,147.65699768066406,2.626953125
s_fish_700,resnet50_tl_20250829,32,16,0,176,16.0,192.0,150.28395080566406,147.56336975097656,2.7205810546875
s_fish_700,resnet50_tl_20250829,32,16,0,192,16.0,208.0,150.28395080566406,148.50050354003906,1.783447265625
s_fish_700,resnet50_tl_20250829,32,16,16,0,32.0,16.0,150.28395080566406,144.9680633544922,5.315887451171875
s_fish_700,resnet50_tl_20250829,32,16,16,16,32.0,32.0,150.28395080566406,144.2754669189453,6.00848388671875
s_fish_700,resnet50_tl_20250829,32,16,16,32,32.0,48.0,150.28395080566406,144.49424743652344,5.789703369140625
s_fish_700,resnet50_tl_20250829,32,16,16,48,32.0,64.0,150.28395080566406,145.59825134277344,4.685699462890625
s_fish_700,resnet50_tl_20250829,32,16,16,64,32.0,80.0,150.28395080566406,147.1601104736328,3.12384033203125
s_fish_700,resnet50_tl_20250829,32,16,16,80,32.0,96.0,150.28395080566406,147.45619201660156,2.8277587890625
s_fish_700,resnet50_tl_20250829,32,16,16,96,32.0,112.0,150.28395080566406,146.52072143554688,3.7632293701171875
s_fish_700,resnet50_tl_20250829,32,16,16,112,32.0,128.0,150.28395080566406,145.7059783935547,4.577972412109375
s_fish_700,resnet50_tl_20250829,32,16,16,128,32.0,144.0,150.28395080566406,146.16722106933594,4.116729736328125
s_fish_700,resnet50_tl_20250829,32,16,16,144,32.0,160.0,150.28395080566406,145.63511657714844,4.648834228515625
s_fish_700,resnet50_tl_20250829,32,16,16,160,32.0,176.0,150.28395080566406,145.9217071533203,4.36224365234375
s_fish_700,resnet50_tl_20250829,32,16,16,176,32.0,192.0,150.28395080566406,146.1008758544922,4.183074951171875
s_fish_700,resnet50_tl_20250829,32,16,16,192,32.0,208.0,150.28395080566406,147.6171112060547,2.666839599609375
s_fish_700,resnet50_tl_20250829,32,16,32,0,48.0,16.0,150.28395080566406,145.87564086914062,4.4083099365234375
s_fish_700,resnet50_tl_20250829,32,16,32,16,48.0,32.0,150.28395080566406,143.82777404785156,6.4561767578125
