case_id,model_type,occluder_size,stride,y0,x0,y_center,x_center,baseline_target_logit,post_occlusion_target_logit,target_logit_drop
s_fish_800,resnet50_geirhos_tl,8,4,0,0,4.0,4.0,3.9435782432556152,3.8817906379699707,0.06178760528564453
s_fish_800,resnet50_geirhos_tl,8,4,0,4,4.0,8.0,3.9435782432556152,3.93424391746521,0.009334325790405273
s_fish_800,resnet50_geirhos_tl,8,4,0,8,4.0,12.0,3.9435782432556152,3.934225559234619,0.009352684020996094
s_fish_800,resnet50_geirhos_tl,8,4,0,12,4.0,16.0,3.9435782432556152,3.936739444732666,0.006838798522949219
s_fish_800,resnet50_geirhos_tl,8,4,0,16,4.0,20.0,3.9435782432556152,3.943201780319214,0.0003764629364013672
s_fish_800,resnet50_geirhos_tl,8,4,0,20,4.0,24.0,3.9435782432556152,3.94254207611084,0.0010361671447753906
s_fish_800,resnet50_geirhos_tl,8,4,0,24,4.0,28.0,3.9435782432556152,3.963009834289551,-0.019431591033935547
s_fish_800,resnet50_geirhos_tl,8,4,0,28,4.0,32.0,3.9435782432556152,3.9567108154296875,-0.013132572174072266
s_fish_800,resnet50_geirhos_tl,8,4,0,32,4.0,36.0,3.9435782432556152,3.9897592067718506,-0.04618096351623535
s_fish_800,resnet50_geirhos_tl,8,4,0,36,4.0,40.0,3.9435782432556152,4.001026630401611,-0.057448387145996094
s_fish_800,resnet50_geirhos_tl,8,4,0,40,4.0,44.0,3.9435782432556152,4.039052486419678,-0.0954742431640625
s_fish_800,resnet50_geirhos_tl,8,4,0,44,4.0,48.0,3.9435782432556152,4.029051780700684,-0.08547353744506836
s_fish_800,resnet50_geirhos_tl,8,4,0,48,4.0,52.0,3.9435782432556152,4.060178756713867,-0.11660051345825195
s_fish_800,resnet50_geirhos_tl,8,4,0,52,4.0,56.0,3.9435782432556152,4.048248291015625,-0.10467004776000977
s_fish_800,resnet50_geirhos_tl,8,4,0,56,4.0,60.0,3.9435782432556152,4.051415920257568,-0.10783767700195312
