case_id,model_type,occluder_size,n_positions,n_intersecting,prop_intersecting
ns_cow_202,resnet50_geirhos_tl,8,3025,512,0.16925619834710745
ns_cow_202,resnet50_geirhos_tl,16,729,212,0.2908093278463649
ns_cow_202,resnet50_geirhos_tl,32,169,82,0.48520710059171596
ns_cow_202,resnet50_geirhos_tl,64,36,29,0.8055555555555556
ns_cow_202,resnet50_tl_20250829,8,3025,512,0.16925619834710745
ns_cow_202,resnet50_tl_20250829,16,729,212,0.2908093278463649
ns_cow_202,resnet50_tl_20250829,32,169,82,0.48520710059171596
ns_cow_202,resnet50_tl_20250829,64,36,29,0.8055555555555556
ns_cow_205,resnet50_geirhos_tl,8,3025,510,0.16859504132231404
ns_cow_205,resnet50_geirhos_tl,16,729,237,0.32510288065843623
ns_cow_205,resnet50_geirhos_tl,32,169,96,0.5680473372781065
ns_cow_205,resnet50_geirhos_tl,64,36,29,0.8055555555555556
ns_cow_205,resnet50_tl_20250829,8,3025,510,0.16859504132231404
ns_cow_205,resnet50_tl_20250829,16,729,237,0.32510288065843623
ns_cow_205,resnet50_tl_20250829,32,169,96,0.5680473372781065
ns_cow_205,resnet50_tl_20250829,64,36,29,0.8055555555555556
ns_cow_350,resnet50_geirhos_tl,8,3025,714,0.23603305785123968
ns_cow_350,resnet50_geirhos_tl,16,729,291,0.3991769547325103
ns_cow_350,resnet50_geirhos_tl,32,169,107,0.6331360946745562
ns_cow_350,resnet50_geirhos_tl,64,36,33,0.9166666666666666
ns_cow_350,resnet50_tl_20250829,8,3025,714,0.23603305785123968
ns_cow_350,resnet50_tl_20250829,16,729,291,0.3991769547325103
ns_cow_350,resnet50_tl_20250829,32,169,107,0.6331360946745562
ns_cow_350,resnet50_tl_20250829,64,36,33,0.9166666666666666
ns_cow_510,resnet50_geirhos_tl,8,3025,557,0.18413223140495869
ns_cow_510,resnet50_geirhos_tl,16,729,228,0.31275720164609055
ns_cow_510,resnet50_geirhos_tl,32,169,88,0.5207100591715976
ns_cow_510,resnet50_geirhos_tl,64,36,34,0.9444444444444444
ns_cow_510,resnet50_tl_20250829,8,3025,557,0.18413223140495869
ns_cow_510,resnet50_tl_20250829,16,729,228,0.31275720164609055
ns_cow_510,resnet50_tl_20250829,32,169,88,0.5207100591715976
ns_cow_510,resnet50_tl_20250829,64,36,34,0.9444444444444444
ns_cow_780,resnet50_geirhos_tl,8,3025,533,0.176198347107438
ns_cow_780,resnet50_geirhos_tl,16,729,229,0.31412894375857336
ns_cow_780,resnet50_geirhos_tl,32,169,91,0.5384615384615384
ns_cow_780,resnet50_geirhos_tl,64,36,31,0.8611111111111112
ns_cow_780,resnet50_tl_20250829,8,3025,533,0.176198347107438
ns_cow_780,resnet50_tl_20250829,16,729,229,0.31412894375857336
ns_cow_780,resnet50_tl_20250829,32,169,91,0.5384615384615384
ns_cow_780,resnet50_tl_20250829,64,36,31,0.8611111111111112
ns_dog_105,resnet50_geirhos_tl,8,3025,365,0.1206611570247934
ns_dog_105,resnet50_geirhos_tl,16,729,161,0.22085048010973937
ns_dog_105,resnet50_geirhos_tl,32,169,75,0.4437869822485207
ns_dog_105,resnet50_geirhos_tl,64,36,27,0.75
ns_dog_105,resnet50_tl_20250829,8,3025,365,0.1206611570247934
ns_dog_105,resnet50_tl_20250829,16,729,161,0.22085048010973937
ns_dog_105,resnet50_tl_20250829,32,169,75,0.4437869822485207
ns_dog_105,resnet50_tl_20250829,64,36,27,0.75
ns_dog_214,resnet50_geirhos_tl,8,3025,540,0.17851239669421487
ns_dog_214,resnet50_geirhos_tl,16,729,243,0.3333333333333333
ns_dog_214,resnet50_geirhos_tl,32,169,105,0.621301775147929
ns_dog_214,resnet50_geirhos_tl,64,36,36,1.0
ns_dog_214,resnet50_tl_20250829,8,3025,540,0.17851239669421487
ns_dog_214,resnet50_tl_20250829,16,729,243,0.3333333333333333
ns_dog_214,resnet50_tl_20250829,32,169,105,0.621301775147929
ns_dog_214,resnet50_tl_20250829,64,36,36,1.0
ns_dog_350,resnet50_geirhos_tl,8,3025,508,0.16793388429752065
ns_dog_350,resnet50_geirhos_tl,16,729,232,0.31824417009602196
ns_dog_350,resnet50_geirhos_tl,32,169,90,0.5325443786982249
ns_dog_350,resnet50_geirhos_tl,64,36,33,0.9166666666666666
ns_dog_350,resnet50_tl_20250829,8,3025,508,0.16793388429752065
ns_dog_350,resnet50_tl_20250829,16,729,232,0.31824417009602196
ns_dog_350,resnet50_tl_20250829,32,169,90,0.5325443786982249
ns_dog_350,resnet50_tl_20250829,64,36,33,0.9166666666666666
ns_dog_69,resnet50_geirhos_tl,8,3025,547,0.18082644628099173
ns_dog_69,resnet50_geirhos_tl,16,729,252,0.345679012345679
ns_dog_69,resnet50_geirhos_tl,32,169,107,0.6331360946745562
ns_dog_69,resnet50_geirhos_tl,64,36,35,0.9722222222222222
ns_dog_69,resnet50_tl_20250829,8,3025,547,0.18082644628099173
ns_dog_69,resnet50_tl_20250829,16,729,252,0.345679012345679
ns_dog_69,resnet50_tl_20250829,32,169,107,0.6331360946745562
ns_dog_69,resnet50_tl_20250829,64,36,35,0.9722222222222222
ns_dog_780,resnet50_geirhos_tl,8,3025,524,0.17322314049586776
ns_dog_780,resnet50_geirhos_tl,16,729,244,0.3347050754458162
ns_dog_780,resnet50_geirhos_tl,32,169,101,0.5976331360946746
ns_dog_780,resnet50_geirhos_tl,64,36,34,0.9444444444444444
ns_dog_780,resnet50_tl_20250829,8,3025,524,0.17322314049586776
ns_dog_780,resnet50_tl_20250829,16,729,244,0.3347050754458162
ns_dog_780,resnet50_tl_20250829,32,169,101,0.5976331360946746
ns_dog_780,resnet50_tl_20250829,64,36,34,0.9444444444444444
ns_elephant_100,resnet50_geirhos_tl,8,3025,613,0.20264462809917355
ns_elephant_100,resnet50_geirhos_tl,16,729,275,0.3772290809327846
ns_elephant_100,resnet50_geirhos_tl,32,169,101,0.5976331360946746
ns_elephant_100,resnet50_geirhos_tl,64,36,30,0.8333333333333334
ns_elephant_100,resnet50_tl_20250829,8,3025,613,0.20264462809917355
ns_elephant_100,resnet50_tl_20250829,16,729,275,0.3772290809327846
ns_elephant_100,resnet50_tl_20250829,32,169,101,0.5976331360946746
ns_elephant_100,resnet50_tl_20250829,64,36,30,0.8333333333333334
ns_elephant_109,resnet50_geirhos_tl,8,3025,640,0.2115702479338843
ns_elephant_109,resnet50_geirhos_tl,16,729,293,0.401920438957476
ns_elephant_109,resnet50_geirhos_tl,32,169,117,0.6923076923076923
ns_elephant_109,resnet50_geirhos_tl,64,36,32,0.8888888888888888
ns_elephant_109,resnet50_tl_20250829,8,3025,640,0.2115702479338843
ns_elephant_109,resnet50_tl_20250829,16,729,293,0.401920438957476
ns_elephant_109,resnet50_tl_20250829,32,169,117,0.6923076923076923
ns_elephant_109,resnet50_tl_20250829,64,36,32,0.8888888888888888
ns_elephant_350,resnet50_geirhos_tl,8,3025,557,0.18413223140495869
ns_elephant_350,resnet50_geirhos_tl,16,729,259,0.355281207133059
ns_elephant_350,resnet50_geirhos_tl,32,169,107,0.6331360946745562
ns_elephant_350,resnet50_geirhos_tl,64,36,36,1.0
ns_elephant_350,resnet50_tl_20250829,8,3025,557,0.18413223140495869
ns_elephant_350,resnet50_tl_20250829,16,729,259,0.355281207133059
ns_elephant_350,resnet50_tl_20250829,32,169,107,0.6331360946745562
ns_elephant_350,resnet50_tl_20250829,64,36,36,1.0
ns_elephant_47,resnet50_geirhos_tl,8,3025,602,0.19900826446280992
ns_elephant_47,resnet50_geirhos_tl,16,729,273,0.37448559670781895
ns_elephant_47,resnet50_geirhos_tl,32,169,104,0.6153846153846154
ns_elephant_47,resnet50_geirhos_tl,64,36,29,0.8055555555555556
ns_elephant_47,resnet50_tl_20250829,8,3025,602,0.19900826446280992
ns_elephant_47,resnet50_tl_20250829,16,729,273,0.37448559670781895
ns_elephant_47,resnet50_tl_20250829,32,169,104,0.6153846153846154
ns_elephant_47,resnet50_tl_20250829,64,36,29,0.8055555555555556
ns_elephant_780,resnet50_geirhos_tl,8,3025,475,0.15702479338842976
ns_elephant_780,resnet50_geirhos_tl,16,729,220,0.3017832647462277
ns_elephant_780,resnet50_geirhos_tl,32,169,91,0.5384615384615384
ns_elephant_780,resnet50_geirhos_tl,64,36,30,0.8333333333333334
ns_elephant_780,resnet50_tl_20250829,8,3025,475,0.15702479338842976
ns_elephant_780,resnet50_tl_20250829,16,729,220,0.3017832647462277
ns_elephant_780,resnet50_tl_20250829,32,169,91,0.5384615384615384
ns_elephant_780,resnet50_tl_20250829,64,36,30,0.8333333333333334
ns_lion_350,resnet50_geirhos_tl,8,3025,374,0.12363636363636364
ns_lion_350,resnet50_geirhos_tl,16,729,169,0.23182441700960219
ns_lion_350,resnet50_geirhos_tl,32,169,68,0.40236686390532544
ns_lion_350,resnet50_geirhos_tl,64,36,24,0.6666666666666666
ns_lion_350,resnet50_tl_20250829,8,3025,374,0.12363636363636364
ns_lion_350,resnet50_tl_20250829,16,729,169,0.23182441700960219
ns_lion_350,resnet50_tl_20250829,32,169,68,0.40236686390532544
ns_lion_350,resnet50_tl_20250829,64,36,24,0.6666666666666666
ns_lion_560,resnet50_geirhos_tl,8,3025,587,0.19404958677685952
ns_lion_560,resnet50_geirhos_tl,16,729,266,0.36488340192043894
ns_lion_560,resnet50_geirhos_tl,32,169,107,0.6331360946745562
ns_lion_560,resnet50_geirhos_tl,64,36,35,0.9722222222222222
ns_lion_560,resnet50_tl_20250829,8,3025,587,0.19404958677685952
ns_lion_560,resnet50_tl_20250829,16,729,266,0.36488340192043894
ns_lion_560,resnet50_tl_20250829,32,169,107,0.6331360946745562
ns_lion_560,resnet50_tl_20250829,64,36,35,0.9722222222222222
ns_lion_650,resnet50_geirhos_tl,8,3025,617,0.20396694214876032
ns_lion_650,resnet50_geirhos_tl,16,729,265,0.3635116598079561
ns_lion_650,resnet50_geirhos_tl,32,169,98,0.5798816568047337
ns_lion_650,resnet50_geirhos_tl,64,36,33,0.9166666666666666
ns_lion_650,resnet50_tl_20250829,8,3025,617,0.20396694214876032
ns_lion_650,resnet50_tl_20250829,16,729,265,0.3635116598079561
ns_lion_650,resnet50_tl_20250829,32,169,98,0.5798816568047337
ns_lion_650,resnet50_tl_20250829,64,36,33,0.9166666666666666
ns_lion_780,resnet50_geirhos_tl,8,3025,506,0.16727272727272727
ns_lion_780,resnet50_geirhos_tl,16,729,229,0.31412894375857336
ns_lion_780,resnet50_geirhos_tl,32,169,96,0.5680473372781065
ns_lion_780,resnet50_geirhos_tl,64,36,32,0.8888888888888888
ns_lion_780,resnet50_tl_20250829,8,3025,506,0.16727272727272727
ns_lion_780,resnet50_tl_20250829,16,729,229,0.31412894375857336
ns_lion_780,resnet50_tl_20250829,32,169,96,0.5680473372781065
ns_lion_780,resnet50_tl_20250829,64,36,32,0.8888888888888888
ns_lion_801,resnet50_geirhos_tl,8,3025,558,0.18446280991735536
ns_lion_801,resnet50_geirhos_tl,16,729,244,0.3347050754458162
ns_lion_801,resnet50_geirhos_tl,32,169,98,0.5798816568047337
ns_lion_801,resnet50_geirhos_tl,64,36,30,0.8333333333333334
ns_lion_801,resnet50_tl_20250829,8,3025,558,0.18446280991735536
ns_lion_801,resnet50_tl_20250829,16,729,244,0.3347050754458162
ns_lion_801,resnet50_tl_20250829,32,169,98,0.5798816568047337
ns_lion_801,resnet50_tl_20250829,64,36,30,0.8333333333333334
s_bird_111,resnet50_geirhos_tl,8,3025,418,0.13818181818181818
s_bird_111,resnet50_geirhos_tl,16,729,181,0.24828532235939643
