term,estimate,std_error,z_value,p_value
Intercept,-0.04653547768087539,0.33131516449653897,-0.14045682983327953,0.8882990591009525
model_type[T.resnet50_tl_20250829],0.062433078672570946,0.4425318751379608,0.14108154051752142,0.8878055263175739
placement_type[T.targeted],0.5797407851683893,0.44253187513795317,1.3100542983206875,0.19017746747363073
occluder_size[T.16],0.06223929588293897,0.4425318751379756,0.14064364485277717,0.8881514672960851
occluder_size[T.32],-0.07630675227504452,0.44253187513797543,-0.17243221689116317,0.8630977460688944
occluder_size[T.64],1.192697349945771,0.44253187513797665,2.6951670985822225,0.007035333962225776
model_type[T.resnet50_tl_20250829]:placement_type[T.targeted],0.027379497141115917,0.6258345796024711,0.04374877648740234,0.9651046583964298
model_type[T.resnet50_tl_20250829]:occluder_size[T.16],-0.15895054319117846,0.6258345796025054,-0.2539817203647245,0.7995096801943482
model_type[T.resnet50_tl_20250829]:occluder_size[T.32],-1.5353833806838753,0.6258345796025059,-2.453337400530125,0.01415375118378015
model_type[T.resnet50_tl_20250829]:occluder_size[T.64],-6.098588512954857,0.6258345796025079,-9.744729217149219,0.0
placement_type[T.targeted]:occluder_size[T.16],0.47748010434640265,0.6258345796024979,0.762949379770093,0.44549358537759876
placement_type[T.targeted]:occluder_size[T.32],1.4441383877240024,0.6258345796024967,2.3075400989208,0.021024729488649196
placement_type[T.targeted]:occluder_size[T.64],1.8240294977662388,0.6258345796024961,2.9145553109653766,0.0035619568394249512
model_type[T.resnet50_tl_20250829]:placement_type[T.targeted]:occluder_size[T.16],-0.055096482585723736,0.8850637502758845,-0.062251428293780574,0.9503626080155048
model_type[T.resnet50_tl_20250829]:placement_type[T.targeted]:occluder_size[T.32],2.940596004442038,0.885063750275885,3.322468018292941,0.0008922489898299801
model_type[T.resnet50_tl_20250829]:placement_type[T.targeted]:occluder_size[T.64],9.866527025011676,0.8850637502758834,11.147815083304653,0.0
num_occluders,0.009839429103207346,0.06196685713032756,0.1587853500866316,0.8738379913068886
model_type[T.resnet50_tl_20250829]:num_occluders,0.15122164211096295,0.08763436977134255,1.7255974169213935,0.08441986439795768
placement_type[T.targeted]:num_occluders,0.12444396877580052,0.08763436977134093,1.4200361011382254,0.1555971712609241
num_occluders:occluder_size[T.16],0.0239202165177668,0.08763436977134517,0.2729547388790405,0.7848880079655778
num_occluders:occluder_size[T.32],0.2383471358922087,0.08763436977134519,2.71979060857175,0.006532326679170808
num_occluders:occluder_size[T.64],0.477829516125796,0.08763436977134531,5.45253554481585,4.965664235356826e-08
model_type[T.resnet50_tl_20250829]:placement_type[T.targeted]:num_occluders,0.37087911019712116,0.12393371426064449,2.9925602763516537,0.0027664803067519728
model_type[T.resnet50_tl_20250829]:num_occluders:occluder_size[T.16],0.43033906100769176,0.12393371426065194,3.4723324768805166,0.0005159569145027909
model_type[T.resnet50_tl_20250829]:num_occluders:occluder_size[T.32],2.4377642375550916,0.12393371426065204,19.669903803803468,0.0
model_type[T.resnet50_tl_20250829]:num_occluders:occluder_size[T.64],8.958906669084389,0.12393371426065221,72.28788972016437,0.0
placement_type[T.targeted]:num_occluders:occluder_size[T.16],0.08925171147005695,0.12393371426065032,0.7201568354705148,0.47142843701620163
placement_type[T.targeted]:num_occluders:occluder_size[T.32],0.04798642541940479,0.12393371426065009,0.3871942812791245,0.6986123834896467
placement_type[T.targeted]:num_occluders:occluder_size[T.64],-0.34155801140626524,0.12393371426064988,-2.7559733317434603,0.005851776789083996
model_type[T.resnet50_tl_20250829]:placement_type[T.targeted]:num_occluders:occluder_size[T.16],0.2570194741778448,0.17526873954267608,1.4664307785203379,0.14253096642340424
model_type[T.resnet50_tl_20250829]:placement_type[T.targeted]:num_occluders:occluder_size[T.32],0.8912271048031992,0.1752687395426762,5.08491763636033,3.6778563550221577e-07
model_type[T.resnet50_tl_20250829]:placement_type[T.targeted]:num_occluders:occluder_size[T.64],0.15222488588315755,0.1752687395426757,0.8685227398813623,0.3851082291180794
