contrast_family,model_type,num_occluders,occluder_size,level_1,level_2,estimate_diff,std_error,z_value,p_value,p_value_holm,reject_holm
placement_within_model,resnet50_geirhos_tl,1,8,random,targeted,-0.7041847539441899,0.3666008706909369,-1.9208485583163095,0.05475080263609233,0.10950160527218467,False
placement_within_model,resnet50_geirhos_tl,1,16,random,targeted,-1.2709165697606495,0.36660087069095554,-3.466758186813015,0.0005267755567384125,0.003160653340430475,True
placement_within_model,resnet50_geirhos_tl,1,32,random,targeted,-2.196309567087597,0.36660087069095565,-5.991010231230697,2.0854151738802784e-09,3.753747312984501e-08,True
placement_within_model,resnet50_geirhos_tl,1,64,random,targeted,-2.1866562403041634,0.36660087069095504,-5.964678251262303,2.4511654928005555e-09,4.1669813377609444e-08,True
placement_within_model,resnet50_geirhos_tl,2,8,random,targeted,-0.8286287227199904,0.29718260682622943,-2.7882813586210706,0.005298850154676904,0.015896550464030712,True
placement_within_model,resnet50_geirhos_tl,2,16,random,targeted,-1.484612250006507,0.2971826068262427,-4.995622946650216,5.864614647244082e-07,6.45107611196849e-06,True
placement_within_model,resnet50_geirhos_tl,2,32,random,targeted,-2.3687399612828024,0.29718260682624287,-7.97065476536371,1.5543122344752192e-15,3.885780586188048e-14,True
placement_within_model,resnet50_geirhos_tl,2,64,random,targeted,-1.9695421976736986,0.29718260682624237,-6.627380447016728,3.416955607349337e-11,6.833911214698674e-10,True
placement_within_model,resnet50_geirhos_tl,3,8,random,targeted,-0.9530726914957909,0.23999660568256748,-3.97119237909713,7.151380006775732e-05,0.0005005966004743012,True
placement_within_model,resnet50_geirhos_tl,3,16,random,targeted,-1.6983079302523643,0.23999660568257505,-7.076383123928781,1.4797052472204086e-12,3.107381019162858e-11,True
placement_within_model,resnet50_geirhos_tl,3,32,random,targeted,-2.5411703554780076,0.23999660568257536,-10.588359565547414,0.0,0.0,True
placement_within_model,resnet50_geirhos_tl,3,64,random,targeted,-1.752428155043234,0.23999660568257491,-7.301887249859842,2.8377300509419e-13,6.24300611207218e-12,True
placement_within_model,resnet50_geirhos_tl,4,8,random,targeted,-1.0775166602715913,0.20552081453885518,-5.242859039310975,1.581073281187173e-07,2.055395265543325e-06,True
placement_within_model,resnet50_geirhos_tl,4,16,random,targeted,-1.912003610498222,0.2055208145388578,-9.303211525257554,0.0,0.0,True
placement_within_model,resnet50_geirhos_tl,4,32,random,targeted,-2.713600749673213,0.2055208145388581,-13.203532478021339,0.0,0.0,True
placement_within_model,resnet50_geirhos_tl,4,64,random,targeted,-1.5353141124127692,0.20552081453885798,-7.4703582498817225,7.993605777301127e-14,1.8385293287792592e-12,True
placement_within_model,resnet50_geirhos_tl,5,8,random,targeted,-1.201960629047392,0.2055208145388575,-5.848364467337877,4.964298971898984e-09,7.942878355038374e-08,True
placement_within_model,resnet50_geirhos_tl,5,16,random,targeted,-2.1256992907440795,0.20552081453885784,-10.342987864823654,0.0,0.0,True
placement_within_model,resnet50_geirhos_tl,5,32,random,targeted,-2.8860311438684185,0.20552081453885793,-14.042524842770877,0.0,0.0,True
placement_within_model,resnet50_geirhos_tl,5,64,random,targeted,-1.3182000697823046,0.205520814538858,-6.413949228159911,1.4179746266052007e-10,2.6941517905498813e-09,True
