case_id,model_type,occluder_size,case_base_id,n_clusters,debiased_entropy,max_debiased_mass_prop,top2_debiased_mass_prop,effective_n_hypotheses,sum_mass_debias_nonnegative,mean_cluster_n_shapes
ns_cow_202,shape_biased,8,ns_cow_202,10.0,1.948985462280404,0.3783189477381925,0.5000042712392919,7.021560327964174,7144.78211905086,25.0
ns_cow_202,shape_biased,16,ns_cow_202,10.0,2.2871604420620955,0.14659093141664664,0.25873678894224716,9.846936997091003,2961.3437757234733,25.0
ns_cow_202,shape_biased,32,ns_cow_202,10.0,2.2517649371961417,0.14885534050164226,0.29649307452589435,9.504495880104956,4418.7574910964895,25.0
ns_cow_202,shape_biased,64,ns_cow_202,10.0,2.2191882474829145,0.18914488359224643,0.3637970911667434,9.199859824604761,4698.2742369468215,25.0
ns_cow_202,texture_biased,8,ns_cow_202,10.0,2.302585067028152,0.10003543568406179,0.20006068988526446,9.999999740341066,1256.818502377398,25.0
ns_cow_202,texture_biased,16,ns_cow_202,10.0,2.3025850254654223,0.10005711686574467,0.20009947039849943,9.999999324713789,1312.0662383375893,25.0
ns_cow_202,texture_biased,32,ns_cow_202,10.0,2.2174822412512727,0.1969948130778794,0.3749833392878461,9.18417818670314,2425.876244796696,25.0
ns_cow_202,texture_biased,64,ns_cow_202,10.0,2.2918560396244025,0.12876852856652643,0.242488427058155,9.893282976328862,4273.027236315437,25.0
ns_cow_205,shape_biased,8,ns_cow_205,10.0,2.295750501833843,0.10976611746766075,0.21908730672558446,9.931887115395963,1856.088200274383,25.0
ns_cow_205,shape_biased,16,ns_cow_205,10.0,2.067462924790696,0.2539138821289701,0.48681406110169395,7.904742729078381,4024.616378271562,25.0
ns_cow_205,shape_biased,32,ns_cow_205,10.0,2.274614022557592,0.16313939426438026,0.2873701999946847,9.724164979792052,3002.9339867687577,25.0
ns_cow_205,shape_biased,64,ns_cow_205,10.0,2.2544156815639256,0.17633243669434698,0.31124478869284283,9.529723289963485,3385.628642060354,25.0
ns_cow_205,texture_biased,8,ns_cow_205,10.0,2.3025850669701518,0.1000359802735353,0.20005968243373934,9.999999739761064,1256.7871499020384,25.0
ns_cow_205,texture_biased,16,ns_cow_205,10.0,2.2535847438589687,0.18546393611773115,0.30132841019349677,9.521807972587307,2222.809149162612,25.0
ns_cow_205,texture_biased,32,ns_cow_205,10.0,2.3025850378649415,0.10005055520497905,0.2000904912386895,9.999999448708973,1954.6605908734164,25.0
ns_cow_205,texture_biased,64,ns_cow_205,10.0,2.232132837798283,0.22426169722296602,0.3247013961473447,9.319722352954999,2924.300550609855,25.0
ns_cow_350,shape_biased,8,ns_cow_350,10.0,2.2677641693232586,0.12199825978821932,0.24373576862822077,9.657783488145796,2395.6016736421766,25.0
ns_cow_350,shape_biased,16,ns_cow_350,10.0,2.2400681236359885,0.16999168267462242,0.31458496622707904,9.393971217121047,3707.5058916016105,25.0
ns_cow_350,shape_biased,32,ns_cow_350,10.0,2.0808501057041404,0.2930192531499097,0.47173672750017115,8.01127645213241,5348.339413417757,25.0
ns_cow_350,shape_biased,64,ns_cow_350,10.0,2.2924215207781566,0.12661114240708282,0.24472201754174014,9.898879023481213,3905.9767389687845,25.0
ns_cow_350,texture_biased,8,ns_cow_350,10.0,2.3025850673296615,0.1000348105943855,0.20006206593147893,9.999999743356161,1256.8529273071404,25.0
ns_cow_350,texture_biased,16,ns_cow_350,10.0,2.2989474071245475,0.10750924989148494,0.2148418115151623,9.963689224942653,1412.1495335123466,25.0
ns_cow_350,texture_biased,32,ns_cow_350,10.0,2.258636985744635,0.17959330077650446,0.32312305048925044,9.570036177345798,2383.723950976422,25.0
ns_cow_350,texture_biased,64,ns_cow_350,10.0,2.198284907179482,0.19197475872413483,0.3586103202279479,9.009548029725224,4898.351973232723,25.0
ns_cow_510,shape_biased,8,ns_cow_510,10.0,2.2886123129822713,0.12360151817694594,0.2471397852156063,9.86124386191723,1904.325451039945,25.0
ns_cow_510,shape_biased,16,ns_cow_510,10.0,2.1667165227817375,0.20183285073001614,0.3727602772269938,8.729573575495758,3819.880572551988,25.0
ns_cow_510,shape_biased,32,ns_cow_510,10.0,2.292365484700097,0.1401764212003027,0.24801685592259998,9.89832434466471,2456.87626290795,25.0
ns_cow_510,shape_biased,64,ns_cow_510,10.0,2.2419355616422676,0.16593741617976046,0.30351345166087695,9.411530266116674,4771.217908382027,25.0
ns_cow_510,texture_biased,8,ns_cow_510,10.0,2.302585068096073,0.10003446818537125,0.2000615430555726,9.999999751020274,1256.7833602345117,25.0
ns_cow_510,texture_biased,16,ns_cow_510,10.0,2.301168632814807,0.11633706816761391,0.21456711137113288,9.985845425269938,1290.2215546165178,25.0
ns_cow_510,texture_biased,32,ns_cow_510,10.0,2.289553098006536,0.14633525540495546,0.2605512960503203,9.8705255378094,1803.2349945180306,25.0
ns_cow_510,texture_biased,64,ns_cow_510,10.0,2.299815695944361,0.12299608322920724,0.2213562500786509,9.972344341927647,1439.9114720730554,25.0
ns_cow_780,shape_biased,8,ns_cow_780,10.0,2.302585060139287,0.10003858901209686,0.20006972319772737,9.999999671452418,1467.8136670410452,25.0
ns_cow_780,shape_biased,16,ns_cow_780,10.0,2.2346730245900965,0.19977326731998618,0.32385123025242935,9.343426282037232,3493.51252422807,25.0
ns_cow_780,shape_biased,32,ns_cow_780,10.0,2.2889018700436736,0.13045513323988892,0.24925496920433832,9.864099668151134,2504.4819137630884,25.0
