case_id,model_type,occluder_size,cluster_rank,k,normalized_debiased_mass,n_shapes_in_cluster,mean_resp,representative_png
ns_cow_202,shape_biased,8,1,49,0.3783189477381925,25,0.9999999987663954,/data/storage-occ-v2/repos/monte-carlo-selection/data/cases/generated_from_best_occluders/ns_cow_202/resnet50_geirhos_tl/size_8/generated/completions/completion_0001_05674.png
ns_cow_202,shape_biased,8,2,23,0.12168532350109937,25,0.9999999760757128,/data/storage-occ-v2/repos/monte-carlo-selection/data/cases/generated_from_best_occluders/ns_cow_202/resnet50_geirhos_tl/size_8/generated/completions/completion_0001_04120.png
ns_cow_202,shape_biased,8,3,76,0.10371035485086309,25,0.9999999991718925,/data/storage-occ-v2/repos/monte-carlo-selection/data/cases/generated_from_best_occluders/ns_cow_202/resnet50_geirhos_tl/size_8/generated/completions/completion_0001_05088.png
ns_cow_202,shape_biased,8,4,0,0.09676596964478315,25,0.9999997364272152,/data/storage-occ-v2/repos/monte-carlo-selection/data/cases/generated_from_best_occluders/ns_cow_202/resnet50_geirhos_tl/size_8/generated/completions/completion_0001_05708.png
ns_cow_202,shape_biased,8,5,28,0.08634672258305356,25,1.0,/data/storage-occ-v2/repos/monte-carlo-selection/data/cases/generated_from_best_occluders/ns_cow_202/resnet50_geirhos_tl/size_8/generated/completions/completion_0001_08579.png
ns_cow_202,shape_biased,16,1,50,0.14659093141664664,25,0.9999999658627874,/data/storage-occ-v2/repos/monte-carlo-selection/data/cases/generated_from_best_occluders/ns_cow_202/resnet50_geirhos_tl/size_16/generated/completions/completion_0001_00410.png
ns_cow_202,shape_biased,16,2,22,0.11214585752560054,25,0.9999992411388634,/data/storage-occ-v2/repos/monte-carlo-selection/data/cases/generated_from_best_occluders/ns_cow_202/resnet50_geirhos_tl/size_16/generated/completions/completion_0001_05881.png
ns_cow_202,shape_biased,16,3,74,0.1093781379850867,25,0.9999999645356362,/data/storage-occ-v2/repos/monte-carlo-selection/data/cases/generated_from_best_occluders/ns_cow_202/resnet50_geirhos_tl/size_16/generated/completions/completion_0001_00558.png
ns_cow_202,shape_biased,16,4,77,0.09707936818049796,25,0.9999999841261665,/data/storage-occ-v2/repos/monte-carlo-selection/data/cases/generated_from_best_occluders/ns_cow_202/resnet50_geirhos_tl/size_16/generated/completions/completion_0001_04763.png
ns_cow_202,shape_biased,16,5,66,0.09484914842588196,25,0.9999999999848285,/data/storage-occ-v2/repos/monte-carlo-selection/data/cases/generated_from_best_occluders/ns_cow_202/resnet50_geirhos_tl/size_16/generated/completions/completion_0001_01723.png
ns_cow_202,shape_biased,32,1,72,0.14885534050164226,25,0.9999999999056692,/data/storage-occ-v2/repos/monte-carlo-selection/data/cases/generated_from_best_occluders/ns_cow_202/resnet50_geirhos_tl/size_32/generated/completions/completion_0001_06770.png
ns_cow_202,shape_biased,32,2,58,0.14763773402425212,25,0.9999999947736541,/data/storage-occ-v2/repos/monte-carlo-selection/data/cases/generated_from_best_occluders/ns_cow_202/resnet50_geirhos_tl/size_32/generated/completions/completion_0001_05869.png
ns_cow_202,shape_biased,32,3,27,0.14598502314127704,25,0.9999999999991502,/data/storage-occ-v2/repos/monte-carlo-selection/data/cases/generated_from_best_occluders/ns_cow_202/resnet50_geirhos_tl/size_32/generated/completions/completion_0001_06626.png
ns_cow_202,shape_biased,32,4,0,0.10477143084561805,25,1.0,/data/storage-occ-v2/repos/monte-carlo-selection/data/cases/generated_from_best_occluders/ns_cow_202/resnet50_geirhos_tl/size_32/generated/completions/completion_0001_00392.png
ns_cow_202,shape_biased,32,5,49,0.08583050083660361,25,0.9999999999829925,/data/storage-occ-v2/repos/monte-carlo-selection/data/cases/generated_from_best_occluders/ns_cow_202/resnet50_geirhos_tl/size_32/generated/completions/completion_0001_09029.png
ns_cow_202,shape_biased,64,1,2,0.18914488359224643,25,0.9999999840839471,/data/storage-occ-v2/repos/monte-carlo-selection/data/cases/generated_from_best_occluders/ns_cow_202/resnet50_geirhos_tl/size_64/generated/completions/completion_0001_08032.png
ns_cow_202,shape_biased,64,2,16,0.174652207574497,25,0.9999999999999802,/data/storage-occ-v2/repos/monte-carlo-selection/data/cases/generated_from_best_occluders/ns_cow_202/resnet50_geirhos_tl/size_64/generated/completions/completion_0001_09952.png
ns_cow_202,shape_biased,64,3,79,0.11076021845853366,25,0.9999999996776503,/data/storage-occ-v2/repos/monte-carlo-selection/data/cases/generated_from_best_occluders/ns_cow_202/resnet50_geirhos_tl/size_64/generated/completions/completion_0001_03666.png
ns_cow_202,shape_biased,64,4,3,0.09423664258106271,25,0.9999999854153993,/data/storage-occ-v2/repos/monte-carlo-selection/data/cases/generated_from_best_occluders/ns_cow_202/resnet50_geirhos_tl/size_64/generated/completions/completion_0001_02341.png
ns_cow_202,shape_biased,64,5,61,0.08318240863556647,25,0.9999999953558495,/data/storage-occ-v2/repos/monte-carlo-selection/data/cases/generated_from_best_occluders/ns_cow_202/resnet50_geirhos_tl/size_64/generated/completions/completion_0001_05558.png
ns_cow_202,texture_biased,8,1,0,0.10003543568406179,25,0.012617765824126471,/data/storage-occ-v2/repos/monte-carlo-selection/data/cases/generated_from_best_occluders/ns_cow_202/resnet50_tl_20250829/size_8/generated/completions/completion_0001_01284.png
ns_cow_202,texture_biased,8,2,1,0.10002525420120267,25,0.01262301100120017,/data/storage-occ-v2/repos/monte-carlo-selection/data/cases/generated_from_best_occluders/ns_cow_202/resnet50_tl_20250829/size_8/generated/completions/completion_0001_01284.png
ns_cow_202,texture_biased,8,3,2,0.10002056281460767,25,0.012614431832543738,/data/storage-occ-v2/repos/monte-carlo-selection/data/cases/generated_from_best_occluders/ns_cow_202/resnet50_tl_20250829/size_8/generated/completions/completion_0001_01284.png
ns_cow_202,texture_biased,8,4,3,0.10001216776245583,25,0.012614687833214115,/data/storage-occ-v2/repos/monte-carlo-selection/data/cases/generated_from_best_occluders/ns_cow_202/resnet50_tl_20250829/size_8/generated/completions/completion_0001_01284.png
ns_cow_202,texture_biased,8,5,4,0.10000526188363382,25,0.012611116740916242,/data/storage-occ-v2/repos/monte-carlo-selection/data/cases/generated_from_best_occluders/ns_cow_202/resnet50_tl_20250829/size_8/generated/completions/completion_0001_01284.png
ns_cow_202,texture_biased,16,1,0,0.10005711686574467,25,0.02047471072575824,/data/storage-occ-v2/repos/monte-carlo-selection/data/cases/generated_from_best_occluders/ns_cow_202/resnet50_tl_20250829/size_16/generated/completions/completion_0001_06200.png
ns_cow_202,texture_biased,16,2,2,0.10004235353275476,25,0.02047528978471826,/data/storage-occ-v2/repos/monte-carlo-selection/data/cases/generated_from_best_occluders/ns_cow_202/resnet50_tl_20250829/size_16/generated/completions/completion_0001_06200.png
ns_cow_202,texture_biased,16,3,3,0.1000330836643469,25,0.020472066876985516,/data/storage-occ-v2/repos/monte-carlo-selection/data/cases/generated_from_best_occluders/ns_cow_202/resnet50_tl_20250829/size_16/generated/completions/completion_0001_06200.png
ns_cow_202,texture_biased,16,4,5,0.10001924399153217,25,0.02047573600645429,/data/storage-occ-v2/repos/monte-carlo-selection/data/cases/generated_from_best_occluders/ns_cow_202/resnet50_tl_20250829/size_16/generated/completions/completion_0001_06200.png
ns_cow_202,texture_biased,16,5,7,0.10000316764271262,25,0.02047576778056531,/data/storage-occ-v2/repos/monte-carlo-selection/data/cases/generated_from_best_occluders/ns_cow_202/resnet50_tl_20250829/size_16/generated/completions/completion_0001_06200.png
ns_cow_202,texture_biased,32,1,18,0.1969948130778794,25,0.5527687181478126,/data/storage-occ-v2/repos/monte-carlo-selection/data/cases/generated_from_best_occluders/ns_cow_202/resnet50_tl_20250829/size_32/generated/completions/completion_0001_03429.png
ns_cow_202,texture_biased,32,2,66,0.1779885262099667,25,0.45171359244574844,/data/storage-occ-v2/repos/monte-carlo-selection/data/cases/generated_from_best_occluders/ns_cow_202/resnet50_tl_20250829/size_32/generated/completions/completion_0001_08406.png
ns_cow_202,texture_biased,32,3,27,0.09222903980045147,25,0.9918471717668292,/data/storage-occ-v2/repos/monte-carlo-selection/data/cases/generated_from_best_occluders/ns_cow_202/resnet50_tl_20250829/size_32/generated/completions/completion_0001_00847.png
ns_cow_202,texture_biased,32,4,2,0.08144099385312649,25,0.17621605318011482,/data/storage-occ-v2/repos/monte-carlo-selection/data/cases/generated_from_best_occluders/ns_cow_202/resnet50_tl_20250829/size_32/generated/completions/completion_0001_08263.png
ns_cow_202,texture_biased,32,5,11,0.08137131316737209,25,0.17611463325417298,/data/storage-occ-v2/repos/monte-carlo-selection/data/cases/generated_from_best_occluders/ns_cow_202/resnet50_tl_20250829/size_32/generated/completions/completion_0001_08263.png
ns_cow_202,texture_biased,64,1,43,0.12876852856652643,25,1.0,/data/storage-occ-v2/repos/monte-carlo-selection/data/cases/generated_from_best_occluders/ns_cow_202/resnet50_tl_20250829/size_64/generated/completions/completion_0001_09500.png
ns_cow_202,texture_biased,64,2,78,0.11371989849162857,25,0.9999988508295524,/data/storage-occ-v2/repos/monte-carlo-selection/data/cases/generated_from_best_occluders/ns_cow_202/resnet50_tl_20250829/size_64/generated/completions/completion_0001_06778.png
ns_cow_202,texture_biased,64,3,55,0.10927836586298922,25,0.9999998211982795,/data/storage-occ-v2/repos/monte-carlo-selection/data/cases/generated_from_best_occluders/ns_cow_202/resnet50_tl_20250829/size_64/generated/completions/completion_0001_02346.png
ns_cow_202,texture_biased,64,4,4,0.10262100025711532,25,0.9999999535042113,/data/storage-occ-v2/repos/monte-carlo-selection/data/cases/generated_from_best_occluders/ns_cow_202/resnet50_tl_20250829/size_64/generated/completions/completion_0001_04527.png
ns_cow_202,texture_biased,64,5,28,0.101614234257367,25,0.9999999319098944,/data/storage-occ-v2/repos/monte-carlo-selection/data/cases/generated_from_best_occluders/ns_cow_202/resnet50_tl_20250829/size_64/generated/completions/completion_0001_09788.png
ns_cow_205,shape_biased,8,1,2,0.10976611746766075,25,0.15718955304831947,/data/storage-occ-v2/repos/monte-carlo-selection/data/cases/generated_from_best_occluders/ns_cow_205/resnet50_geirhos_tl/size_8/generated/completions/completion_0001_02551.png
ns_cow_205,shape_biased,8,2,35,0.1093211892579237,25,0.15728939165916597,/data/storage-occ-v2/repos/monte-carlo-selection/data/cases/generated_from_best_occluders/ns_cow_205/resnet50_geirhos_tl/size_8/generated/completions/completion_0001_02551.png
ns_cow_205,shape_biased,8,3,36,0.10930311830935696,25,0.15729313276590556,/data/storage-occ-v2/repos/monte-carlo-selection/data/cases/generated_from_best_occluders/ns_cow_205/resnet50_geirhos_tl/size_8/generated/completions/completion_0001_02551.png
ns_cow_205,shape_biased,8,4,47,0.10907053828998098,25,0.15734035372000219,/data/storage-occ-v2/repos/monte-carlo-selection/data/cases/generated_from_best_occluders/ns_cow_205/resnet50_geirhos_tl/size_8/generated/completions/completion_0001_02551.png
ns_cow_205,shape_biased,8,5,57,0.10877824860651664,25,0.15739653325102795,/data/storage-occ-v2/repos/monte-carlo-selection/data/cases/generated_from_best_occluders/ns_cow_205/resnet50_geirhos_tl/size_8/generated/completions/completion_0001_02551.png
ns_cow_205,shape_biased,16,1,79,0.2539138821289701,25,0.9993706631815195,/data/storage-occ-v2/repos/monte-carlo-selection/data/cases/generated_from_best_occluders/ns_cow_205/resnet50_geirhos_tl/size_16/generated/completions/completion_0001_03084.png
ns_cow_205,shape_biased,16,2,8,0.23290017897272386,25,0.9607943830641287,/data/storage-occ-v2/repos/monte-carlo-selection/data/cases/generated_from_best_occluders/ns_cow_205/resnet50_geirhos_tl/size_16/generated/completions/completion_0001_01868.png
ns_cow_205,shape_biased,16,3,20,0.1215363348944189,25,0.9999960728960835,/data/storage-occ-v2/repos/monte-carlo-selection/data/cases/generated_from_best_occluders/ns_cow_205/resnet50_geirhos_tl/size_16/generated/completions/completion_0001_02563.png
ns_cow_205,shape_biased,16,4,72,0.0659951500128299,25,0.975267553336777,/data/storage-occ-v2/repos/monte-carlo-selection/data/cases/generated_from_best_occluders/ns_cow_205/resnet50_geirhos_tl/size_16/generated/completions/completion_0001_04054.png
ns_cow_205,shape_biased,16,5,25,0.06578282501839695,25,0.8258043712048123,/data/storage-occ-v2/repos/monte-carlo-selection/data/cases/generated_from_best_occluders/ns_cow_205/resnet50_geirhos_tl/size_16/generated/completions/completion_0001_02507.png
ns_cow_205,shape_biased,32,1,70,0.16313939426438026,25,0.9999887580501609,/data/storage-occ-v2/repos/monte-carlo-selection/data/cases/generated_from_best_occluders/ns_cow_205/resnet50_geirhos_tl/size_32/generated/completions/completion_0001_06696.png
ns_cow_205,shape_biased,32,2,43,0.12423080573030446,25,0.999999989044295,/data/storage-occ-v2/repos/monte-carlo-selection/data/cases/generated_from_best_occluders/ns_cow_205/resnet50_geirhos_tl/size_32/generated/completions/completion_0001_01013.png
ns_cow_205,shape_biased,32,3,16,0.10768692529255622,25,0.9999999984345936,/data/storage-occ-v2/repos/monte-carlo-selection/data/cases/generated_from_best_occluders/ns_cow_205/resnet50_geirhos_tl/size_32/generated/completions/completion_0001_06537.png
